id,product_name,product_price,quantity,product_photo
668,Drumsticks,53.00,4 x (180 - 220 g),"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/0d8b5575-1d97-44f8-9ecb-2ef2ab15cf23.jpeg"
669,Banana Raw,96.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/067b5bdf-f963-4623-b222-3bd4beed174c.jpeg"
487,Banana Elaichi / Yelakki,39.00,3 Pcs,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/6f5e667b-dad6-4f4f-8fe4-e4d8389930da.jpeg"
488,Banana Robusta,53.00,4 pcs,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/f35152f8-31b1-4450-ae76-fe0f8893005a.jpeg"
489,Snacky Avocado,55.00,1 piece,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/366753e0-f787-4c3a-9774-391a42be1567.jpeg"
490,Jamun,46.00,250 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-2000-2000,pr-true,f-auto,q-80/cms/product_variant/294fdf76-bc2e-481f-839a-f22bf37d23cb.jpeg"
491,Banana Elaichi / Yelakki,85.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/c1090b9c-d3f9-43d9-a46e-70ff482990b2.jpeg"
492,Apple Royal Gala,190.00,4 x (500 - 540 g),"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/9f4bf44a-a214-401c-8092-1d4593bffacb.jpeg"
493,Avocado Hass Imported,79.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/e41deafb-f7f0-4c9a-9bcd-f5ef523df4ad.jpeg"
494,Watermelon Kiran(Tarbooj),127.00,1 pc (2.3 - 3.8 kg),"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/d684d49f-850e-4c4a-bed3-2f5ec4ba9c3c.jpeg"
495,Coconut Big,86.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/cf5d5cc8-dcb1-405e-8f37-4af6e603851f.jpeg"
496,Muskmelon,51.00,600 - 800 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-2924-3000,pr-true,f-auto,q-80/cms/product_variant/3adc39a4-e8dc-4da5-84e8-872396a75bdc.jpeg"
497,Papaya,75.00,600 g - 1.2 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/2d835650-5530-4e70-bb6f-2876f65610fc.jpeg"
498,Tender Coconut,87.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/4bdbf9f5-023b-4d38-a1c6-f8a37c73759a.jpeg"
499,Gooseberry (Amla),70.00,250 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/a5d2dffb-fbe0-49b4-8ef9-5a2b3b03e502.jpeg"
500,Mosambi,62.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/db426c6b-fbf9-48e2-ac55-cc53f78de3b8.jpeg"
501,Grapes Bangalore Blue,61.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-500-357,pr-true,f-auto,q-80/inventory/product/640a9531-ad5a-4e2a-88cc-3ab461154895-d1edf8d4-76cb-450e-836b-8ceaaa79025d.jpeg"
502,Pomegranate,251.00,4 x (720 - 820 g),"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/c643a754-bc83-469a-9cae-cce85260528d.jpeg"
503,Banana Nendran,72.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/5a22eec9-fbe7-4ba2-b603-d0f6e1217a98.jpeg"
504,Kiwi Green,145.00,3 pcs,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/784828da-e695-4bdb-91e6-15956b5411bc.jpeg"
505,Mango Mallika,171.00,1 kg,"https://cdn.zeptonow.com/production/tr:w-640,ar-500-500,pr-true,f-auto,q-80/inventory/product/8f43cb1b-4195-4755-b716-ff999a72ce74-a47a557b-9149-4a3b-b6cb-e84e968125c5.jpeg"
506,Pomegranate,164.00,2 pcs,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/14a0e8e8-9b34-40b8-92e0-a70f07a9dd75.jpeg"
507,Coconut Kalash,84.00,1 pc,"https://cdn.zeptonow.com/production/tr:w-640,ar-600-600,pr-true,f-auto,q-80/inventory/product/66ba6f6e-cf49-4a18-917c-01e7c14b484b-/tmp/20230912-1702371.jpeg"
508,Blueberry,278.00,120 - 130 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/3874781d-377e-48b2-a617-bd2070d9de40.jpeg"
